protocol,group_family,group_name,n,pos_n,neg_n,pos_rate,pred_pos_rate,proba_mean,signed_residual_mean,abs_residual_mean,brier_mean,error_rate,fn_rate_all,fp_rate_all,fn_given_pos,fp_given_neg,auc
LOCO,canonical_amine_object,DEEA|HMDA,13,0,13,0.0,1.0,0.7727022951514682,-0.7727022951514682,0.7727022951514682,0.5985333831731698,1.0,0.0,1.0,,1.0,
LOCO,canonical_amine_object,2MPRZ,6,6,0,1.0,0.16666666666666666,0.40842189553346103,0.5915781044665388,0.5915781044665388,0.37622129668881876,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,,
LOCO,canonical_amine_object,AEP,28,25,3,0.8928571428571429,0.4642857142857143,0.4664842088516658,0.42637293400547704,0.5077471465379612,0.3290445170791103,0.42857142857142855,0.42857142857142855,0.0,0.48,0.0,0.6266666666666667
LOCO,canonical_amine_object,MAE,69,28,41,0.4057971014492754,0.8115942028985508,0.7588985302406236,-0.3531014287913484,0.45640334784606185,0.32963899526158885,0.43478260869565216,0.014492753623188406,0.42028985507246375,0.03571428571428571,0.7073170731707317,0.755226480836237
LOCO,canonical_amine_object,DAP,5,5,0,1.0,0.6,0.5454105482919362,0.45458945170806386,0.45458945170806386,0.21318125859066547,0.4,0.4,0.0,0.4,,
LOCO,canonical_amine_object,MEA,121,91,30,0.7520661157024794,0.628099173553719,0.553468803584844,0.19859731211763543,0.3375231494505994,0.1722103660010659,0.2231404958677686,0.17355371900826447,0.049586776859504134,0.23076923076923078,0.2,0.8564102564102565
LOCO,canonical_amine_object,BZMEA,5,0,5,0.0,0.0,0.3118097294821192,-0.3118097294821192,0.3118097294821192,0.10010177545216961,0.0,0.0,0.0,,0.0,
LOCO,canonical_amine_object,BAE,6,0,6,0.0,0.16666666666666666,0.29964820677979975,-0.29964820677979975,0.29964820677979975,0.12608299134944548,0.16666666666666666,0.0,0.16666666666666666,,0.16666666666666666,
LOCO,canonical_amine_object,DMAE|TETA,27,0,27,0.0,0.0,0.29818462038703974,-0.29818462038703974,0.29818462038703974,0.08989027192443821,0.0,0.0,0.0,,0.0,
LOCO,canonical_amine_object,DEEA|MAPA,14,11,3,0.7857142857142857,0.9285714285714286,0.9232621926038006,-0.13754790688951488,0.2902678568452797,0.25631742274901637,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.09090909090909091,1.0,0.7272727272727273
LOCO,canonical_amine_object,DETA,28,20,8,0.7142857142857143,0.75,0.6935576771246307,0.020728037161083564,0.2765660785019802,0.15250716501674239,0.25,0.10714285714285714,0.14285714285714285,0.15,0.5,0.8375
LOCO,canonical_amine_object,1-amino-2-propanol,8,5,3,0.625,0.5,0.5635123242947482,0.06148767570525175,0.2764817035966508,0.09505668362294215,0.125,0.125,0.0,0.2,0.0,1.0
LOCO,canonical_amine_object,DEEA|TETA,6,6,0,1.0,1.0,0.7467418314367721,0.25325816856322797,0.25325816856322797,0.07315241372327604,0.0,0.0,0.0,0.0,,
LOCO,canonical_amine_object,DETA|PMDETA,17,17,0,1.0,0.7647058823529411,0.7468341720495499,0.25316582795045006,0.25316582795045006,0.13416496603626663,0.23529411764705882,0.23529411764705882,0.0,0.23529411764705882,,
LOCO,canonical_amine_object,EAE,23,19,4,0.8260869565217391,0.7391304347826086,0.6638000084487231,0.1622869480730158,0.218005452672415,0.07432365197841605,0.08695652173913043,0.08695652173913043,0.0,0.10526315789473684,0.0,1.0
LOCO,canonical_amine_object,DMCA|TETA,5,5,0,1.0,1.0,0.8062972936963899,0.1937027063036102,0.1937027063036102,0.0426828703256184,0.0,0.0,0.0,0.0,,
LOCO,canonical_amine_object,TEPA,16,14,2,0.875,0.9375,0.8693129149617903,0.005687085038209715,0.15976231855459205,0.07625944123070309,0.0625,0.0,0.0625,0.0,0.5,0.9285714285714286
LOCO,canonical_amine_object,IPMEA,5,0,5,0.0,0.0,0.15620457840154484,-0.15620457840154484,0.15620457840154484,0.025891930280850385,0.0,0.0,0.0,,0.0,
LOCO,canonical_amine_object,TETA,6,6,0,1.0,1.0,0.9330747809143533,0.06692521908564658,0.06692521908564658,0.005135189147043587,0.0,0.0,0.0,0.0,,
LOCO,canonical_amine_object,DEA,12,12,0,1.0,1.0,0.9444048363910573,0.055595163608942864,0.055595163608942864,0.0031910209562788384,0.0,0.0,0.0,0.0,,
LOCO,canonical_amine_object,AEEA|PMDETA,10,10,0,1.0,1.0,0.9770549533969888,0.022945046603011176,0.022945046603011176,0.0016484295282343964,0.0,0.0,0.0,0.0,,
LOCO,chemistry_object,AEP__sulfolane,6,6,0,1.0,0.0,0.2247987288471234,0.7752012711528766,0.7752012711528766,0.6194394053318848,1.0,1.0,0.0,1.0,,
LOCO,chemistry_object,DEEA|HMDA__NO_SOLVENT,13,0,13,0.0,1.0,0.7727022951514682,-0.7727022951514682,0.7727022951514682,0.5985333831731698,1.0,0.0,1.0,,1.0,
LOCO,chemistry_object,MAE__n-propanol,6,0,6,0.0,0.8333333333333334,0.7440167082887856,-0.7440167082887856,0.7440167082887856,0.5942688927706893,0.8333333333333334,0.0,0.8333333333333334,,0.8333333333333334,
LOCO,chemistry_object,MAE__isopropanol,6,0,6,0.0,0.8333333333333334,0.7380000837922506,-0.7380000837922506,0.7380000837922506,0.585519380617585,0.8333333333333334,0.0,0.8333333333333334,,0.8333333333333334,
LOCO,chemistry_object,MAE__ethanol,6,0,6,0.0,0.6666666666666666,0.6784625588677374,-0.6784625588677374,0.6784625588677374,0.5016069348335,0.6666666666666666,0.0,0.6666666666666666,,0.6666666666666666,
LOCO,chemistry_object,AEP__isopropanol,6,6,0,1.0,0.5,0.40632205696362483,0.5936779430363751,0.5936779430363751,0.4036890667914769,0.5,0.5,0.0,0.5,,
LOCO,chemistry_object,2MPRZ__TGBE,6,6,0,1.0,0.16666666666666666,0.40842189553346103,0.5915781044665388,0.5915781044665388,0.37622129668881876,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,,
LOCO,chemistry_object,MEA__sulfolane,18,16,2,0.8888888888888888,0.2222222222222222,0.37982292241597837,0.5090659664729105,0.5183150521435714,0.37595469964725037,0.6666666666666666,0.6666666666666666,0.0,0.75,0.0,1.0
LOCO,chemistry_object,MEA__ethanol,6,0,6,0.0,0.5,0.49395977225472193,-0.49395977225472193,0.49395977225472193,0.31474105871984465,0.5,0.0,0.5,,0.5,
LOCO,chemistry_object,MEA__TEG,12,6,6,0.5,0.3333333333333333,0.3398273160445422,0.1601726839554578,0.4763905783305995,0.31210778515571996,0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5555555555555556
LOCO,chemistry_object,DETA__NO_SOLVENT,8,0,8,0.0,0.5,0.4477165723465691,-0.4477165723465691,0.4477165723465691,0.29030360255062987,0.5,0.0,0.5,,0.5,
LOCO,chemistry_object,AEP__n-propanol,15,13,2,0.8666666666666667,0.6666666666666666,0.6062881583942775,0.26037850827238906,0.38820893739062756,0.2027927674705105,0.2,0.2,0.0,0.23076923076923078,0.0,0.7692307692307693
LOCO,chemistry_object,MEA__Methanol,6,0,6,0.0,0.16666666666666666,0.3370492910930527,-0.3370492910930527,0.3370492910930527,0.14269682690220092,0.16666666666666666,0.0,0.16666666666666666,,0.16666666666666666,
LOCO,chemistry_object,DETA|PMDETA__NO_SOLVENT,12,12,0,1.0,0.6666666666666666,0.6695510285264009,0.33044897147359903,0.33044897147359903,0.1878227491398106,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,,
LOCO,chemistry_object,MAE__n-butanol,11,8,3,0.7272727272727273,0.8181818181818182,0.7806129782780317,-0.05334025100530438,0.30457556174393874,0.17341733465255366,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.125,0.6666666666666666,0.7916666666666666
LOCO,chemistry_object,DMAE|TETA__NO_SOLVENT,27,0,27,0.0,0.0,0.29818462038703974,-0.29818462038703974,0.29818462038703974,0.08989027192443821,0.0,0.0,0.0,,0.0,
LOCO,chemistry_object,DEEA|MAPA__NO_SOLVENT,14,11,3,0.7857142857142857,0.9285714285714286,0.9232621926038006,-0.13754790688951488,0.2902678568452797,0.25631742274901637,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.09090909090909091,1.0,0.7272727272727273
LOCO,chemistry_object,MEA__isobutanol,5,5,0,1.0,0.8,0.7106208249086912,0.2893791750913087,0.2893791750913087,0.14076417542468533,0.2,0.2,0.0,0.2,,
LOCO,chemistry_object,MEA__Tertiarybutanol,6,5,1,0.8333333333333334,0.6666666666666666,0.596949253266217,0.23638408006711634,0.261679435931851,0.1244762159597456,0.16666666666666666,0.16666666666666666,0.0,0.2,0.0,1.0
LOCO,chemistry_object,DETA__sulfolane,11,11,0,1.0,0.8181818181818182,0.746553898302367,0.2534461016976329,0.2534461016976329,0.1077934578462235,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,,
LOCO,chemistry_object,DEEA|TETA__NO_SOLVENT,6,6,0,1.0,1.0,0.7467418314367721,0.25325816856322797,0.25325816856322797,0.07315241372327604,0.0,0.0,0.0,0.0,,
LOCO,chemistry_object,MEA__isopropanol,24,19,5,0.7916666666666666,0.7916666666666666,0.6162567867394327,0.1754098799272338,0.2410398050749434,0.07620777740213333,0.0,0.0,0.0,0.0,0.0,1.0
LOCO,chemistry_object,MEA__n-propanol,25,21,4,0.84,0.8,0.6514971394990381,0.1885028605009619,0.23450001825329422,0.08017330437747168,0.04,0.04,0.0,0.047619047619047616,0.0,0.9880952380952381
LOCO,chemistry_object,MAE__DGM,15,13,2,0.8666666666666667,1.0,0.9021380688150685,-0.03547140214840186,0.22658019126433107,0.15814260283718512,0.13333333333333333,0.0,0.13333333333333333,0.0,1.0,0.0
LOCO,chemistry_object,EAE__DEGDEE,18,18,0,1.0,0.8888888888888888,0.7805246008616784,0.21947539913832154,0.21947539913832154,0.07892493232761108,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,,
LOCO,chemistry_object,DMCA|TETA__NO_SOLVENT,5,5,0,1.0,1.0,0.8062972936963899,0.1937027063036102,0.1937027063036102,0.0426828703256184,0.0,0.0,0.0,0.0,,
LOCO,chemistry_object,TEPA__DGME,11,10,1,0.9090909090909091,1.0,0.8840377679233725,0.025053141167536482,0.18798596632350878,0.09999490295239642,0.09090909090909091,0.0,0.09090909090909091,0.0,1.0,0.8
LOCO,chemistry_object,DETA__n-pentylalcohol,9,9,0,1.0,0.8888888888888888,0.8473099443767855,0.1526900556232145,0.1526900556232145,0.0846715293061433,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,,
LOCO,chemistry_object,DETA|PMDETA__sulfolane,5,5,0,1.0,1.0,0.9323137165051074,0.0676862834948925,0.0676862834948925,0.00538628658776111,0.0,0.0,0.0,0.0,,
LOCO,chemistry_object,TETA__DMCA,5,5,0,1.0,1.0,0.9327114740964033,0.06728852590359677,0.06728852590359677,0.005314398804073352,0.0,0.0,0.0,0.0,,
LOCO,chemistry_object,AEEA|PMDETA__DMSO,10,10,0,1.0,1.0,0.9770549533969888,0.022945046603011176,0.022945046603011176,0.0016484295282343964,0.0,0.0,0.0,0.0,,
LOCO,Amine_1,DEEA,14,0,14,0.0,1.0,0.7637634791152008,-0.7637634791152008,0.7637634791152008,0.5857333194428991,1.0,0.0,1.0,,1.0,
LOCO,Amine_1,2MPRZ,6,6,0,1.0,0.16666666666666666,0.40842189553346103,0.5915781044665388,0.5915781044665388,0.37622129668881876,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,,
LOCO,Amine_1,AEP,28,25,3,0.8928571428571429,0.4642857142857143,0.4664842088516658,0.42637293400547704,0.5077471465379612,0.3290445170791103,0.42857142857142855,0.42857142857142855,0.0,0.48,0.0,0.6266666666666667
LOCO,Amine_1,MAE,72,28,44,0.3888888888888889,0.8194444444444444,0.7649976826596347,-0.37610879377074574,0.4751064661981795,0.35007676439133983,0.4583333333333333,0.013888888888888888,0.4444444444444444,0.03571428571428571,0.7272727272727273,0.7467532467532467
LOCO,Amine_1,MEA,125,95,30,0.76,0.64,0.5626925743293169,0.19730742567068318,0.33178763620899226,0.16810679704956755,0.216,0.168,0.048,0.22105263157894736,0.2,0.8610526315789474
LOCO,Amine_1,BZMEA,5,0,5,0.0,0.0,0.3118097294821192,-0.3118097294821192,0.3118097294821192,0.10010177545216961,0.0,0.0,0.0,,0.0,
LOCO,Amine_1,BAE,6,0,6,0.0,0.16666666666666666,0.29964820677979975,-0.29964820677979975,0.29964820677979975,0.12608299134944548,0.16666666666666666,0.0,0.16666666666666666,,0.16666666666666666,
LOCO,Amine_1,MAPA,14,11,3,0.7857142857142857,0.9285714285714286,0.9232621926038006,-0.13754790688951488,0.2902678568452797,0.25631742274901637,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.09090909090909091,1.0,0.7272727272727273
LOCO,Amine_1,DETA,50,42,8,0.84,0.76,0.7062343018127735,0.13376569818722653,0.27703500133812864,0.14713651708252545,0.24,0.16,0.08,0.19047619047619047,0.5,0.8095238095238095
LOCO,Amine_1,TETA,49,21,28,0.42857142857142855,0.42857142857142855,0.5139985336023786,-0.08542710503095,0.26311811523011464,0.08061985703929705,0.0,0.0,0.0,0.0,0.0,1.0
LOCO,Amine_1,DAP,11,11,0,1.0,0.8181818181818182,0.7412835023461558,0.25871649765384425,0.25871649765384425,0.1030725180769439,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,,
LOCO,Amine_1,EAE,23,19,4,0.8260869565217391,0.7391304347826086,0.6638000084487231,0.1622869480730158,0.218005452672415,0.07432365197841605,0.08695652173913043,0.08695652173913043,0.0,0.10526315789473684,0.0,1.0
LOCO,Amine_1,TEPA,22,18,4,0.8181818181818182,0.9545454545454546,0.8573186732363002,-0.03913685505448206,0.21458950480395259,0.11560931500062267,0.13636363636363635,0.0,0.13636363636363635,0.0,0.75,0.8611111111111112
LOCO,Amine_1,1-amino-2-propanol,16,13,3,0.8125,0.75,0.7500349470157673,0.0624650529842326,0.16996206692993215,0.050379785629450294,0.0625,0.0625,0.0,0.07692307692307693,0.0,1.0
LOCO,Amine_1,IPMEA,5,0,5,0.0,0.0,0.15620457840154484,-0.15620457840154484,0.15620457840154484,0.025891930280850385,0.0,0.0,0.0,,0.0,
LOCO,Amine_1,DEA,12,12,0,1.0,1.0,0.9444048363910573,0.055595163608942864,0.055595163608942864,0.0031910209562788384,0.0,0.0,0.0,0.0,,
LOCO,Amine_1,AEEA,12,11,1,0.9166666666666666,0.9166666666666666,0.9039612002882782,0.012705466378388541,0.03278507661211986,0.0027408987606428806,0.0,0.0,0.0,0.0,0.0,1.0
LOCO,Solvent,TEGDME,5,4,1,0.8,0.2,0.24966872573160628,0.5503312742683937,0.9371842368427343,0.8786417187693983,1.0,0.8,0.2,1.0,1.0,0.0
LOCO,Solvent,TGBE,6,6,0,1.0,0.16666666666666666,0.40842189553346103,0.5915781044665388,0.5915781044665388,0.37622129668881876,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,,
LOCO,Solvent,ethanol,14,2,12,0.14285714285714285,0.5714285714285714,0.601442247263127,-0.45858510440598405,0.5463483222704097,0.37171320808882974,0.5714285714285714,0.07142857142857142,0.5,0.5,0.5833333333333334,0.6666666666666667
LOCO,Solvent,TEG,13,6,7,0.46153846153846156,0.38461538461538464,0.38452837830275194,0.07701008323570963,0.5105867742591126,0.3533404598710766,0.5384615384615384,0.3076923076923077,0.23076923076923078,0.6666666666666666,0.42857142857142855,0.4761904761904762
LOCO,Solvent,sulfolane,40,38,2,0.95,0.45,0.5264816610105483,0.42351833898945185,0.4276804275412493,0.292412012372227,0.5,0.5,0.0,0.5263157894736842,0.0,0.9736842105263157
LOCO,Solvent,EGBE,12,2,10,0.16666666666666666,0.4166666666666667,0.3827316494234742,-0.21606498275680752,0.38071297594642645,0.16676402343053165,0.25,0.0,0.25,0.0,0.3,0.75
LOCO,Solvent,isopropanol,39,28,11,0.717948717948718,0.7435897435897436,0.6102168178574704,0.10773190009124765,0.3751964951951461,0.20834874726947333,0.23076923076923078,0.10256410256410256,0.1282051282051282,0.14285714285714285,0.45454545454545453,0.6428571428571428
LOCO,Solvent,(none),132,68,64,0.5151515151515151,0.6818181818181818,0.665917317326366,-0.1507658021748508,0.3541910879604587,0.21003925503219117,0.2727272727272727,0.05303030303030303,0.2196969696969697,0.10294117647058823,0.453125,0.796185661764706
LOCO,Solvent,n-propanol,48,36,12,0.75,0.7708333333333334,0.6528205497610156,0.09717945023898444,0.3470874894066367,0.18423409373227592,0.1875,0.08333333333333333,0.10416666666666667,0.1111111111111111,0.4166666666666667,0.6851851851851851
